original_City,original_Country,lat,lon,formatted,district,postcode,city,county,county_code,state_code,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
Bradford,United Kingdom,53.7944229,-1.7519186,"Bradford, ENG, United Kingdom",,,Bradford,West Yorkshire,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zaragoza,Spain,41.6521342,-0.8809428,"Zaragoza, Aragon, Spain",,,Zaragoza,Zaragoza,Z,,Aragon,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Belfast,United Kingdom,54.596391,-5.9301829,"Belfast, NIR, United Kingdom",,,Belfast,,,NIR,Northern Ireland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clermont-Ferrand,France,45.7774551,3.0819427,"Clermont-Ferrand, ARA, France",,,Clermont-Ferrand,Puy-de-Dôme,,ARA,Auvergne-Rhône-Alpes,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Győr,Hungary,47.6835029,17.6342832,"Gyor, GS, Hungary",,,Gyor,Győr-Moson-Sopron,GS,,Western Transdanubia,Hungary,hu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bari,Italy,41.1257843,16.8620293,"Bari, BA, Italy",,,Bari,Bari,BA,PUG,Apulia,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Utrecht,Netherlands,52.0907006,5.1215634,"Utrecht, UT, Netherlands",,,Utrecht,,,UT,Utrecht,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brno,Czechia,49.1922443,16.6113382,"Brno, Southeast, Czechia",,,Brno,South Moravian Region,,,Southeast,Czechia,cz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Münster,Germany,51.9625101,7.6251879,"Münster, NW, Germany",,,Münster,,,NW,North Rhine-Westphalia,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bari,Italy,41.1257843,16.8620293,"Bari, BA, Italy",,,Bari,Bari,BA,PUG,Apulia,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clermont-Ferrand,France,45.7774551,3.0819427,"Clermont-Ferrand, ARA, France",,,Clermont-Ferrand,Puy-de-Dôme,,ARA,Auvergne-Rhône-Alpes,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Münster,Germany,51.9625101,7.6251879,"Münster, NW, Germany",,,Münster,,,NW,North Rhine-Westphalia,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lisbon,Portugal,38.7077507,-9.1365919,"Lisbon, Portugal",,,Lisbon,Lisbon,,,,Portugal,pt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brno,Czechia,49.1922443,16.6113382,"Brno, Southeast, Czechia",,,Brno,South Moravian Region,,,Southeast,Czechia,cz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clermont-Ferrand,France,45.7774551,3.0819427,"Clermont-Ferrand, ARA, France",,,Clermont-Ferrand,Puy-de-Dôme,,ARA,Auvergne-Rhône-Alpes,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bari,Italy,41.1257843,16.8620293,"Bari, BA, Italy",,,Bari,Bari,BA,,Apulia,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Utrecht,Netherlands,52.0907006,5.1215634,"Utrecht, Netherlands",,,Utrecht,,,,Utrecht,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karlsruhe,Germany,49.0068705,8.4034195,"Karlsruhe, BW, Germany",,,Karlsruhe,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Coventry,United Kingdom,52.4081812,-1.510477,"Coventry, ENG, United Kingdom",,,Coventry,West Midlands,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clermont-Ferrand,France,45.7774551,3.0819427,"Clermont-Ferrand, ARA, France",,,Clermont-Ferrand,Puy-de-Dôme,,ARA,Auvergne-Rhône-Alpes,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brno,Czechia,49.1922443,16.6113382,"Brno, Southeast, Czechia",,,Brno,South Moravian Region,,,Southeast,Czechia,cz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Utrecht,Netherlands,52.0907006,5.1215634,"Utrecht, UT, Netherlands",,,Utrecht,,,UT,Utrecht,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Coventry,United Kingdom,52.4081812,-1.510477,"Coventry, ENG, United Kingdom",,,Coventry,West Midlands,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karlsruhe,Germany,49.0068705,8.4034195,"Karlsruhe, BW, Germany",,,Karlsruhe,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Munich,Germany,48.1371079,11.5753822,"Munich, BY, Germany",,,Munich,,,BY,Bavaria,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Utrecht,Netherlands,52.0907006,5.1215634,"Utrecht, UT, Netherlands",,,Utrecht,,,UT,Utrecht,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clermont-Ferrand,France,45.7774551,3.0819427,"Clermont-Ferrand, ARA, France",,,Clermont-Ferrand,Puy-de-Dôme,,ARA,Auvergne-Rhône-Alpes,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Coventry,United Kingdom,52.4081812,-1.510477,"Coventry, ENG, United Kingdom",,,Coventry,West Midlands,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Utrecht,Netherlands,52.0907006,5.1215634,"Utrecht, UT, Netherlands",,,Utrecht,,,UT,Utrecht,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Munich,Germany,48.1371079,11.5753822,"Munich, BY, Germany",,,Munich,,,BY,Bavaria,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Leeds,United Kingdom,53.7974185,-1.5437941,"Leeds, ENG, United Kingdom",,,Leeds,West Yorkshire,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Edinburgh,United Kingdom,55.9533456,-3.1883749,"City of Edinburgh, SCT, United Kingdom",,,City of Edinburgh,,,SCT,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bari,Italy,41.1257843,16.8620293,"Bari, BA, Italy",,,Bari,Bari,BA,PUG,Apulia,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lisbon,Portugal,38.7077507,-9.1365919,"Lisbon, Portugal",,,Lisbon,Lisbon,,,,Portugal,pt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Glasgow,United Kingdom,55.861155,-4.2501687,"Glasgow, GLG, SCT, United Kingdom",,G2 1AL,Glasgow,Glasgow City,GLG,SCT,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brno,Czechia,49.1922443,16.6113382,"Brno, Southeast, Czechia",,,Brno,South Moravian Region,,,Southeast,Czechia,cz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Glasgow,United Kingdom,55.861155,-4.2501687,"Glasgow, GLG, SCT, United Kingdom",,G2 1AL,Glasgow,Glasgow City,GLG,SCT,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Munich,Germany,48.1371079,11.5753822,"Munich, BY, Germany",,,Munich,,,BY,Bavaria,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karlsruhe,Germany,49.0068705,8.4034195,"Karlsruhe, BW, Germany",,,Karlsruhe,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Leeds,United Kingdom,53.7974185,-1.5437941,"Leeds, ENG, United Kingdom",,,Leeds,West Yorkshire,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Glasgow,United Kingdom,55.861155,-4.2501687,"Glasgow, GLG, SCT, United Kingdom",,G2 1AL,Glasgow,Glasgow City,GLG,SCT,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Coventry,United Kingdom,52.4081812,-1.510477,"Coventry, ENG, United Kingdom",,,Coventry,West Midlands,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bari,Italy,41.1257843,16.8620293,"Bari, BA, Italy",,,Bari,Bari,BA,PUG,Apulia,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Newcastle upon Tyne,United Kingdom,54.9738474,-1.6131572,"yes (Newcastle upon Tyne), ENG, United Kingdom",yes,,Newcastle upon Tyne,North East,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Portsmouth,United Kingdom,50.800031,-1.0906023,"yes (Portsmouth), ENG, United Kingdom",yes,,Portsmouth,,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Belfast,United Kingdom,54.596391,-5.9301829,"Belfast, NIR, United Kingdom",,,Belfast,,,NIR,Northern Ireland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Glasgow,United Kingdom,55.861155,-4.2501687,"Glasgow, GLG, SCT, United Kingdom",,G2 1AL,Glasgow,Glasgow City,GLG,SCT,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Glasgow,United Kingdom,55.861155,-4.2501687,"Glasgow, GLG, SCT, United Kingdom",,G2 1AL,Glasgow,Glasgow City,GLG,SCT,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karlsruhe,Germany,49.0068705,8.4034195,"Karlsruhe, BW, Germany",,,Karlsruhe,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clermont-Ferrand,France,45.7774551,3.0819427,"Clermont-Ferrand, ARA, France",,,Clermont-Ferrand,Puy-de-Dôme,,ARA,Auvergne-Rhône-Alpes,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clermont-Ferrand,France,45.7774551,3.0819427,"Clermont-Ferrand, ARA, France",,,Clermont-Ferrand,Puy-de-Dôme,,ARA,Auvergne-Rhône-Alpes,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Genoa,Italy,44.40726,8.9338624,"Genoa, GE, Italy",,,Genoa,Genoa,GE,LIG,Liguria,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Genoa,Italy,44.40726,8.9338624,"Genoa, GE, Italy",,,Genoa,Genoa,GE,LIG,Liguria,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rome,Italy,41.8933203,12.4829321,"Rome, LAZ, Italy",,,Rome,Roma Capitale,,LAZ,Lazio,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Győr,Hungary,47.6835029,17.6342832,"Gyor, GS, Hungary",,,Gyor,Győr-Moson-Sopron,GS,,Western Transdanubia,Hungary,hu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Leeds,United Kingdom,53.7974185,-1.5437941,"Leeds, ENG, United Kingdom",,,Leeds,West Yorkshire,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Belfast,United Kingdom,54.596391,-5.9301829,"Belfast, NIR, United Kingdom",,,Belfast,,,NIR,Northern Ireland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bari,Italy,41.1257843,16.8620293,"Bari, BA, Italy",,,Bari,Bari,BA,PUG,Apulia,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Győr,Hungary,47.687609,17.6346815,"Gyor, GS, Hungary",,,Gyor,Győr-Moson-Sopron,GS,,Western Transdanubia,Hungary,hu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Győr,Hungary,47.6835029,17.6342832,"Gyor, GS, Hungary",,,Gyor,Győr-Moson-Sopron,GS,,Western Transdanubia,Hungary,hu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Győr,Hungary,47.687609,17.6346815,"Gyor, GS, Hungary",,,Gyor,Győr-Moson-Sopron,GS,,Western Transdanubia,Hungary,hu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Coventry,United Kingdom,52.4081812,-1.510477,"Coventry, ENG, United Kingdom",,,Coventry,West Midlands,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karlsruhe,Germany,49.0068705,8.4034195,"Karlsruhe, BW, Germany",,,Karlsruhe,,,BW,Baden-Württemberg,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brno,Czechia,49.1922443,16.6113382,"Brno, Southeast, Czechia",,,Brno,South Moravian Region,,,Southeast,Czechia,cz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Naples,Italy,40.8358846,14.2487679,"Naples, NA, Italy",,,Naples,Naples,NA,CAM,Campania,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Coventry,United Kingdom,52.4081812,-1.510477,"Coventry, ENG, United Kingdom",,,Coventry,West Midlands,,ENG,England,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Naples,Italy,40.8358846,14.2487679,"Naples, NA, Italy",,,Naples,Naples,NA,CAM,Campania,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lisbon,Portugal,38.7077507,-9.1365919,"Lisbon, Portugal",,,Lisbon,Lisbon,,,,Portugal,pt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Edinburgh,United Kingdom,55.9533456,-3.1883749,"City of Edinburgh, SCT, United Kingdom",,,City of Edinburgh,,,SCT,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Edinburgh,United Kingdom,55.9533456,-3.1883749,"City of Edinburgh, SCT, United Kingdom",,,City of Edinburgh,,,SCT,Scotland,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Frankfurt,Germany,50.1106444,8.6820917,"Frankfurt, HE, Germany",,,Frankfurt,,,HE,Hesse,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
